Designator,Footprint,Quantity,Value,LCSC Part #
A2,TestPoint_Pad_D1.5mm,1,SPARE_ADC_A2,
A3,TestPoint_Pad_D1.5mm,1,SPARE_ADC_A3,
B3,TestPoint_Pad_D1.5mm,1,SPARE_DAC_B3,
"C1, C18, C2, C3, C36, C38, C6",0603,7,2.2uF,
"C10, C11, C12, C13, C16, C17, C20, C21, C23, C25, C27, C29, C37, C39, C40, C44, C45, C47, C9",0603,19,0.1uF,
"C14, C15, C26",0603,3,0.01uF,
"C19, C31, C4, C41, C46, C5, C7, C8",0805,8,10uF,
"C22, C24, C34",CP_Radial_D12.5mm_P5.00mm,3,2200uF,
C28,0603,1,47nF,
C30,0603,1,1uF,
"C32, C42, C43",1206,3,22uF,
C33,1206,1,0.1uF,
C35,0603,1,4.7uF,
D1,SOT-23,1,BAV99,
D2,D_SMB_TVS,1,SMBJ20A,
D3,D_SMB,1,SS24,
D4,SOT-23_Handsoldering,1,BAS21,
F1,1812,1,2a hold / 4a trip,
F2,Fuseholder_Blade_Mini_Keystone_3568,1,15amp,
FB1,0603,1,60ohm,
FB2,0603,1,220ohm,
"IO12, IO13, IO14, IO15, IO16, IO26, IO27, IO28, IO29, IO34, IO39, IO40, IO6",TestPoint_Pad_D1.0mm,13,GPIO,
IO22_SW1,TestPoint_Pad_D1.0mm,1,GPIO22_SW,
IO23_SW1,TestPoint_Pad_D1.0mm,1,GPIO23_SW,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_EvenJtag,
J2,CONN_173862-1_TYC,1,173862-1,
JP3_10AMP/4AMP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,~,
L1,Inductor_7.3x6.6mm,1,10uH,
"Q2, Q4",SOT-23,2,MMBT2222A,
"R1, R15, R5",0402,3,10k,
"R10, R11, R33, R8, R9",0402,5,4.7k,
R12,0402,1,64.9k,
R13,0402,1,390,
"R14, R6",0402,2,100k,
"R16, R17",0603,2,360ohm,
"R18, R2",0402,2,1k,
R19,0603,1,22k,
"R20, R22, R24, R26, R31, R7",0402,6,2.2k,
"R21, R23",0402,2,56k,
R25,0603,1,43.2k,
R27,0603,1,120ohm,
"R28, R29, R_A3",0402,3,0ohm,
"R3, R32",0402,2,22k,
R30,0603,1,120,
R34,0603,1,100k,
R4,0402,1,620,
"R_A2, R_B3",0402,2,0.1mohm,
SW1,SW_PUSH_6mm_H5mm,1,Push_Button,
T1,TestPoint_Pad_D1.0mm,1,MOT_PWM,
T10,TestPoint_Pad_D1.0mm,1,A_SPI_SIMO,
T11,TestPoint_Pad_D1.0mm,1,A_SPI_CLK,
T12,TestPoint_Pad_D1.0mm,1,A_SPI_SOMI,
T13,TestPoint_Pad_D1.0mm,1,A_SPI_CS,
T14,TestPoint_Pad_D1.0mm,1,+3v3,
T2,TestPoint_Pad_D1.0mm,1,MOT_PH,
T3,TestPoint_Pad_D1.0mm,1,+BATTP,
T4,TestPoint_Pad_D1.0mm,1,BRK_SENSE,
T5,TestPoint_Pad_D1.0mm,1,MOT_IPROPI2,
T6,TestPoint_Pad_D1.0mm,1,MOT_IPROPI1,
T7,TestPoint_Pad_D1.0mm,1,PGOOD,
T8,TestPoint_Pad_D1.0mm,1,CANTX,
T9,TestPoint_Pad_D1.0mm,1,CANRX,
U1,PowerPAK_SO-8L_3_VIS,1,SQJ147ELP-T1_GE3,
U2,PWP0014F_M,1,TPS1H100BQPWPRQ1,
U3,PWP24_TEX-M,1,DRV8873HPWPR,
U4,PZ0100A_M,1,F280049CPZS,
U5,DDA0008E-IPC_A,1,PLMR38020FSQDDARQ1,
U6,SOT_SiT1630-S_SIT,1,SIT2024BA-S2-XXE-10.000000E,
U7,SOIC8_D_TEX-M,1,PTCAN3404DRQ1,
U8,TSSOP14_AMS-M,1,AS5147U-HTSM,
U9,SOT-23-6_Handsoldering,1,TPS3702,
