Designator,Mid X,Mid Y,Rotation,Layer
A2,132.588,-127.6,0.0,top
A3,131.0,-132.8,180.0,bottom
B3,130.6,-124.8,0.0,top
C1,161.417,-129.794,180.0,top
C10,144.6,-109.0,90.0,top
C11,167.259,-118.872,180.0,top
C12,154.8,-105.2,90.0,top
C13,148.8,-93.0,180.0,top
C14,145.161,-128.143,270.0,top
C15,158.0,-129.6,180.0,top
C16,156.4,-104.6,270.0,top
C17,165.6,-122.4,0.0,top
C18,155.6,-90.0,0.0,top
C19,148.8,-94.8,180.0,top
C2,142.6,-126.4,0.0,top
C20,143.0,-108.8,270.0,top
C21,140.2,-123.2,180.0,top
C22,172.1,-94.4,180.0,top
C23,146.431,-106.172,270.0,top
C24,185.674,-63.54,90.0,top
C25,174.0,-131.0,180.0,top
C26,180.594,-127.762,180.0,top
C27,166.4,-76.4,180.0,top
C28,152.8,-78.4,90.0,top
C29,127.889,-131.826,90.0,top
C3,142.6,-128.0,0.0,top
C30,153.797,-76.0,0.0,top
C31,166.6,-79.2,180.0,top
C32,189.4,-94.4,180.0,top
C33,189.4,-96.8,180.0,top
C34,145.542,-75.986,90.0,top
C35,185.2,-97.4,0.0,top
C36,150.368,-132.461,0.0,top
C37,187.833,-106.934,180.0,top
C38,153.924,-132.461,180.0,top
C39,114.046,-69.088,270.0,top
C4,165.989,-126.746,0.0,top
C40,163.55,-104.287501,90.0,top
C41,114.3,-72.771,90.0,top
C42,179.0,-103.8,0.0,top
C43,179.0,-107.6,0.0,top
C44,195.6,-99.4,0.0,top
C45,131.4,-100.8,180.0,bottom
C46,131.4,-102.8,180.0,bottom
C47,137.033,-73.787,180.0,top
C5,133.0745,-119.634,0.0,top
C6,159.512,-125.857,180.0,top
C7,165.0,-124.6,0.0,top
C8,133.0745,-121.634,0.0,top
C9,137.8745,-120.634,270.0,top
D1,130.6,-92.6,180.0,top
D2,188.849,-78.994,90.0,top
D3,183.642,-78.486,270.0,top
D4,142.367,-85.344,270.0,top
F1,186.0,-72.0,0.0,top
F2,176.0,-74.422,90.0,top
FB1,159.4,-127.6,180.0,top
FB2,136.0745,-120.634,270.0,top
IO12,162.687,-117.983,90.0,bottom
IO13,163.0,-120.8,90.0,bottom
IO14,143.0,-114.8,90.0,bottom
IO15,141.2,-112.2,270.0,bottom
IO16,158.0,-118.0,180.0,bottom
IO22_SW1,146.4,-108.2,180.0,bottom
IO23_SW1,148.463,-108.331,0.0,bottom
IO26,157.4,-115.8,0.0,bottom
IO27,155.8,-114.0,0.0,bottom
IO28,141.2,-117.8,180.0,bottom
IO29,140.6,-115.4,180.0,bottom
IO34,139.4,-110.6,0.0,bottom
IO39,143.4,-111.0,0.0,bottom
IO40,146.0,-110.4,0.0,bottom
IO6,139.2,-113.4,270.0,bottom
J1,187.47,-120.06,0.0,top
J2,147.0952,-64.3556,0.0,top
JP1,158.6,-96.6,90.0,bottom
JP10,153.035,-120.269,270.0,bottom
JP11,147.193,-132.842,270.0,bottom
JP12,163.068,-105.0,90.0,bottom
JP13,177.673,-127.889,90.0,top
JP2,161.2,-96.6,90.0,bottom
JP3,165.8,-115.8,270.0,top
JP3_10AMP/4AMP1,157.8,-87.4,180.0,bottom
JP4,167.4,-109.8,0.0,bottom
JP5,124.7902,-112.6744,180.0,top
JP6,124.7544,-108.5088,180.0,top
JP7,125.349,-65.532,90.0,top
JP8,168.148,-101.854,0.0,top
JP9,138.6,-130.8,0.0,top
L1,193.6,-104.2,0.0,top
Q2,133.4,-78.4,270.0,top
Q4,137.16,-76.454,180.0,top
R1,128.397,-75.438,0.0,top
R10,153.6,-96.6,270.0,top
R11,134.6,-81.661,90.0,top
R12,184.0,-99.6,90.0,top
R13,148.463,-89.154,0.0,top
R14,183.134,-105.283,0.0,top
R15,148.0,-106.4,90.0,top
R16,148.082,-130.81,0.0,top
R17,161.925,-127.254,270.0,top
R18,144.907,-85.725,270.0,top
R19,180.086,-89.789,180.0,top
R2,126.6,-94.4,90.0,top
R20,127.889,-128.905,90.0,top
R21,170.4,-115.189,180.0,top
R22,170.4,-113.665,0.0,top
R23,166.8,-106.4,270.0,top
R24,170.6,-109.8,0.0,top
R25,184.2,-107.0,0.0,top
R26,165.862,-112.268,270.0,top
R27,125.222,-68.961,270.0,top
R28,163.068,-98.552,0.0,top
R29,163.068,-99.949,0.0,top
R3,129.5925,-79.4,180.0,top
R30,125.095,-130.048,90.0,top
R31,179.705,-130.4,270.0,top
R32,133.223,-74.93,180.0,top
R33,161.9625,-113.284,180.0,top
R34,186.4,-108.6,180.0,top
R4,152.654,-90.932,0.0,top
R5,137.2,-80.391,90.0,top
R6,130.175,-81.534,270.0,top
R7,131.699,-95.758,90.0,top
R8,142.748,-103.886,270.0,top
R9,158.496,-101.219,0.0,top
R_A2,136.271,-127.635,0.0,top
